provider_code,station_code,station_name,latitude,longitude,altitude_m
ana,87120000,PCH PASSO DO INFERNO BARRAMENTO,-29.2683,-50.7467,616
ana,87150000,LINHA GONZAGA,-29.3075,-50.9958,129
ana,87153000,CGH SANTO ANJO JUSANTE,-29.2050,-51.0900,245
ana,87160000,NOVA PALMIRA,-29.3356,-51.1889,53
ana,87165001,FELIZ,-29.4550,-51.3061,0
ana,87168000,SAO VENDELINO,-29.3828,-51.3689,64
ana,87170000,BARCA DO CAI,-29.5900,-51.3833,0
ana,87189000,PICADA CAFE,-29.4614,-51.1400,0
ana,87200000,PCH HERVAL BARRAMENTO,-29.5011,-51.0022,373
ana,87230000,COSTA DO RIO CADEIA - MONTANTE,-29.5906,-51.3136,2
ana,87231100,MATA OLHO ROLANTE,-29.5802,-50.5560,2
ana,87242000,TERMINAL CATSUL GUAIBA,-30.1075,-51.3111,0
ana,87270000,PASSO MONTENEGRO,-29.7011,-51.4411,0
ana,87317030,MAQUINE,-29.6519,-50.2092,13
ana,87318000,ARROIO CARAA,-29.7908,-50.4217,0
ana,87333000,STIL LAGOA DOS BARROS,-29.9094,-50.4253,7
ana,87350000,ALTO ROLANTE,-29.6450,-50.5106,2
ana,87361100,UHE CANASTRA JUSANTE 2,-29.3936,-50.7475,0
ana,87376000,FOZ DO PARANHANA,-29.6858,-50.8122,19
ana,87380000,CAMPO BOM,-29.6917,-51.0461,2
ana,87382000,SAO LEOPOLDO,-29.7589,-51.1483,0
ana,87390070,CAMPING ARROIO DOS RATOS,-30.1300,-51.7331,0
ana,87398750,4 IRMAOS CANAL GRAVATAI,-29.9803,-50.7439,0
ana,87399000,PASSO DAS CANOAS - AUXILIAR,-29.9644,-50.9778,0
ana,87401750,CORSAN ALVORADA,-29.9683,-51.0367,12
ana,87409000,PONTE PONCHE VERDE _ DOM PEDRITO,-31.1475,-54.7594,0
ana,87444000,USINA DO GASOMETRO (CHEIA 2024),-30.0347,-51.2419,15
ana,87450004,CAIS MAUA C6,-30.0211,-51.2211,5
ana,87905000,PASSO DO MENDONCA,-31.0119,-52.0525,14
ana,87920500,PASSO DO CANDOMBE,-31.2900,-52.1175,60
ana,87955000,LARANJAL,-31.7725,-52.2253,0
ana,87991100,FURG/CCMAR,-32.0272,-52.1017,0
ana,88060200,TAIM MANGUEIRA,-32.5408,-52.5394,0
ana,88060210,TAIM MIRIM,-32.5397,-52.5392,0
ana,88260000,PASSO DAS PEDRAS,-32.5194,-53.4558,2
ana,88550010,PONTE DO IMPERIO,-31.7192,-52.9008,0
ana,88641000,PEDRO OSORIO,-31.8633,-52.8161,16
ana,88810100,PORTO DE PELOTAS,-31.7822,-52.3333,0
inmet,A801,PORTO ALEGRE,-30.0536,-51.1747,41
inmet,A802,RIO GRANDE,-32.0788,-52.1677,4
inmet,A803,SANTA MARIA,-29.7249,-53.7205,103
inmet,A804,SANTANA DO LIVRAMENTO,-30.7505,-55.4013,196
inmet,A805,SANTO AUGUSTO,-27.8543,-53.7911,489
inmet,A809,URUGUAIANA,-29.8398,-57.0818,74
inmet,A810,SANTA ROSA,-27.8904,-54.4800,272
